"","class","v","id"
"1","obs-parent",6.66839085264426,"---x---|1110000|0000111"
"2","obs-parent",17.7316215510894,"---x---|1110000|0000111"
"3","obs-parent",55.9494256904787,"---x---|1110000|0000111"
"4","obs-parent",9.10804604263607,"---x---|1110000|0000111"
"5","obs-parent",61.2263095088313,"---x---|1110000|0000111"
"6","obs-parent",14.4309300935273,"---x---|1110000|0000111"
"7","obs-parent",44.8896554958492,"---x---|1110000|0000111"
"8","obs-parent",39.1110212419078,"---x---|1110000|0000111"
"9","obs-parent",20.2084771570988,"---x---|1110000|0000111"
"10","obs-parent",32.1627875880586,"---x---|1110000|0000111"
"11","obs-parent",50.4445626976767,"---x---|1110000|0000111"
"12","obs-parent",34.4804600185508,"---x---|1110000|0000111"
"13","obs-parent",6.58879926488566,"---x---|1110000|0000111"
"14","pred",4.55918868335954,"---x---|1110000|0000111"
"15","pred",5.58829459111092,"---x---|1110000|0000111"
"16","pred",4.07073420441601,"---x---|1110000|0000111"
"17","pred",3.41157288346896,"---x---|1110000|0000111"
"18","pred",6.62079178724906,"---x---|1110000|0000111"
"19","pred",4.06204129826016,"---x---|1110000|0000111"
"20","pred",6.07327374857404,"---x---|1110000|0000111"
"21","pred",3.600103365671,"---x---|1110000|0000111"
"22","pred",5.90605192668905,"---x---|1110000|0000111"
"23","pred",4.58483976553494,"---x---|1110000|0000111"
"24","pred",3.36559362389684,"---x---|1110000|0000111"
"25","pred",5.52385965451295,"---x---|1110000|0000111"
"26","pred",4.89116237433291,"---x---|1110000|0000111"
"27","pred",17.5545167617162,"---x---|1110000|0000111"
"28","pred",5.9160767480971,"---x---|1110000|0000111"
"29","pred",6.33313038477829,"---x---|1110000|0000111"
"30","pred",9.71397890642182,"---x---|1110000|0000111"
"31","pred",5.82600938084048,"---x---|1110000|0000111"
"32","pred",3.71575275359602,"---x---|1110000|0000111"
"33","pred",7.42383108813163,"---x---|1110000|0000111"
"34","pred",6.68104232501378,"---x---|1110000|0000111"
"35","pred",9.41829742801278,"---x---|1110000|0000111"
"36","pred",3.82393791737777,"---x---|1110000|0000111"
"37","pred",3.76335362604931,"---x---|1110000|0000111"
"38","pred",4.20625155950504,"---x---|1110000|0000111"
"39","pred",5.19369476097422,"---x---|1110000|0000111"
"40","pred",4.4295389450168,"---x---|1110000|0000111"
"41","pred",7.64548878954989,"---x---|1110000|0000111"
"42","pred",5.10535101024019,"---x---|1110000|0000111"
"43","pred",11.4680903461768,"---x---|1110000|0000111"
"44","pred",8.0093713880415,"---x---|1110000|0000111"
"45","pred",6.05548020984517,"---x---|1110000|0000111"
"46","pred",16.1114288467904,"---x---|1110000|0000111"
"47","pred",4.21733290910439,"---x---|1110000|0000111"
"48","pred",5.86078148149628,"---x---|1110000|0000111"
"49","pred",7.6502196520509,"---x---|1110000|0000111"
"50","pred",20.204998226569,"---x---|1110000|0000111"
"51","pred",12.1424736330273,"---x---|1110000|0000111"
"52","pred",17.0548213588456,"---x---|1110000|0000111"
"53","pred",4.81844191786797,"---x---|1110000|0000111"
"54","pred",14.589793900149,"---x---|1110000|0000111"
"55","pred",7.26926812016369,"---x---|1110000|0000111"
"56","pred",7.03028484011999,"---x---|1110000|0000111"
"57","pred",11.5849480100439,"---x---|1110000|0000111"
"58","pred",15.4027149678993,"---x---|1110000|0000111"
"59","pred",10.7110833972173,"---x---|1110000|0000111"
"60","pred",10.0851109908864,"---x---|1110000|0000111"
"61","pred",11.6636501025034,"---x---|1110000|0000111"
"62","pred",4.77267224357441,"---x---|1110000|0000111"
"63","pred",12.0012820791549,"---x---|1110000|0000111"
"64","pred",18.8255405163213,"---x---|1110000|0000111"
"65","pred",5.66066441823712,"---x---|1110000|0000111"
"66","pred",6.93839683932947,"---x---|1110000|0000111"
"67","pred",5.05420193534493,"---x---|1110000|0000111"
"68","pred",4.23579074543698,"---x---|1110000|0000111"
"69","pred",8.22033986604404,"---x---|1110000|0000111"
"70","pred",5.04340886930072,"---x---|1110000|0000111"
"71","pred",7.54054438155735,"---x---|1110000|0000111"
"72","pred",4.46986918931656,"---x---|1110000|0000111"
"73","pred",7.3329226569834,"---x---|1110000|0000111"
"74","pred",5.69251266542406,"---x---|1110000|0000111"
"75","pred",4.17870314132295,"---x---|1110000|0000111"
"76","pred",6.85839476478872,"---x---|1110000|0000111"
"77","pred",6.07284118713081,"---x---|1110000|0000111"
"78","pred",21.7955946361866,"---x---|1110000|0000111"
"79","pred",7.34536942192007,"---x---|1110000|0000111"
"80","pred",7.86318099885134,"---x---|1110000|0000111"
"81","pred",12.0608245400734,"---x---|1110000|0000111"
"82","pred",7.23354225781636,"---x---|1110000|0000111"
"83","pred",4.61345885420747,"---x---|1110000|0000111"
"84","pred",9.21738919053095,"---x---|1110000|0000111"
"85","pred",8.29514661325089,"---x---|1110000|0000111"
"86","pred",11.6937079892558,"---x---|1110000|0000111"
"87","pred",4.74778097810545,"---x---|1110000|0000111"
"88","pred",4.67255984424916,"---x---|1110000|0000111"
"89","pred",5.22245956258593,"---x---|1110000|0000111"
"90","pred",6.4484637891686,"---x---|1110000|0000111"
"91","pred",5.49969199273756,"---x---|1110000|0000111"
"92","pred",9.49259821358064,"---x---|1110000|0000111"
"93","pred",6.33877665817116,"---x---|1110000|0000111"
"94","pred",14.2387199732861,"---x---|1110000|0000111"
"95","pred",9.94439291232061,"---x---|1110000|0000111"
"96","pred",7.51845201851813,"---x---|1110000|0000111"
"97","pred",20.0038643570201,"---x---|1110000|0000111"
"98","pred",5.23621810730509,"---x---|1110000|0000111"
"99","pred",7.27671511303247,"---x---|1110000|0000111"
"100","pred",9.49847202729772,"---x---|1110000|0000111"
"101","pred",25.0864183246315,"---x---|1110000|0000111"
"102","pred",15.0760306750918,"---x---|1110000|0000111"
"103","pred",21.1751754819388,"---x---|1110000|0000111"
"104","pred",5.98255185519516,"---x---|1110000|0000111"
"105","pred",18.1146105010793,"---x---|1110000|0000111"
"106","pred",9.02548463164603,"---x---|1110000|0000111"
"107","pred",8.7287642623324,"---x---|1110000|0000111"
"108","pred",14.3838098271597,"---x---|1110000|0000111"
"109","pred",19.1239289747465,"---x---|1110000|0000111"
"110","pred",13.2988241720938,"---x---|1110000|0000111"
"111","pred",12.5216201620364,"---x---|1110000|0000111"
"112","pred",14.481525926529,"---x---|1110000|0000111"
"113","pred",5.92572447104818,"---x---|1110000|0000111"
"114","pred",14.9007279928233,"---x---|1110000|0000111"
"115","pred",23.3736909691346,"---x---|1110000|0000111"
"116","pred",4.55990201381784,"---x---|1110000|0000111"
"117","pred",5.5891689354337,"---x---|1110000|0000111"
"118","pred",4.07137111130829,"---x---|1110000|0000111"
"119","pred",3.41210665801033,"---x---|1110000|0000111"
"120","pred",6.62182767603715,"---x---|1110000|0000111"
"121","pred",4.06267684506073,"---x---|1110000|0000111"
"122","pred",6.07422397271419,"---x---|1110000|0000111"
"123","pred",3.60066663768322,"---x---|1110000|0000111"
"124","pred",5.9069759873104,"---x---|1110000|0000111"
"125","pred",4.58555710936041,"---x---|1110000|0000111"
"126","pred",3.3661202045253,"---x---|1110000|0000111"
"127","pred",5.52472391734842,"---x---|1110000|0000111"
"128","pred",4.89192764538011,"---x---|1110000|0000111"
"129","pred",17.5572633406267,"---x---|1110000|0000111"
"130","pred",5.91700237720156,"---x---|1110000|0000111"
"131","pred",6.33412126607616,"---x---|1110000|0000111"
"132","pred",9.71549875512878,"---x---|1110000|0000111"
"133","pred",5.82692091800867,"---x---|1110000|0000111"
"134","pred",3.71633412010632,"---x---|1110000|0000111"
"135","pred",7.42499262041296,"---x---|1110000|0000111"
"136","pred",6.68208764059832,"---x---|1110000|0000111"
"137","pred",9.4197710144088,"---x---|1110000|0000111"
"138","pred",3.82453621053397,"---x---|1110000|0000111"
"139","pred",3.76394244019,"---x---|1110000|0000111"
"140","pred",4.20690966943666,"---x---|1110000|0000111"
"141","pred",5.19450736622515,"---x---|1110000|0000111"
"142","pred",4.43023199048281,"---x---|1110000|0000111"
"143","pred",7.64668500238531,"---x---|1110000|0000111"
"144","pred",5.10614979323182,"---x---|1110000|0000111"
"145","pred",11.4698846430814,"---x---|1110000|0000111"
"146","pred",8.01062453393207,"---x---|1110000|0000111"
"147","pred",6.05642765000904,"---x---|1110000|0000111"
"148","pred",16.11394964023,"---x---|1110000|0000111"
"149","pred",4.21799275282348,"---x---|1110000|0000111"
"150","pred",5.86169845910579,"---x---|1110000|0000111"
"151","pred",7.65141660507686,"---x---|1110000|0000111"
"152","pred",20.2081594996914,"---x---|1110000|0000111"
"153","pred",12.144373443911,"---x---|1110000|0000111"
"154","pred",17.0574897554356,"---x---|1110000|0000111"
"155","pred",4.81919581107578,"---x---|1110000|0000111"
"156","pred",14.5920766186527,"---x---|1110000|0000111"
"157","pred",7.27040546952994,"---x---|1110000|0000111"
"158","pred",7.03138479817289,"---x---|1110000|0000111"
"159","pred",11.5867605904935,"---x---|1110000|0000111"
"160","pred",15.405124875997,"---x---|1110000|0000111"
"161","pred",10.7127592528485,"---x---|1110000|0000111"
"162","pred",10.0866889069028,"---x---|1110000|0000111"
"163","pred",11.6654749966789,"---x---|1110000|0000111"
"164","pred",4.77341897566103,"---x---|1110000|0000111"
"165","pred",12.0031597992143,"---x---|1110000|0000111"
"166","pred",18.8284859595519,"---x---|1110000|0000111"
"167","pred",7.39766133795815,"---x---|1110000|0000111"
"168","pred",9.06747092803348,"---x---|1110000|0000111"
"169","pred",6.60510348058726,"---x---|1110000|0000111"
"170","pred",5.53555963011116,"---x---|1110000|0000111"
"171","pred",10.7427831644626,"---x---|1110000|0000111"
