"","class","v","id"
"1","obs-parent",1.52858277472993,"xxx---x|0001000|0000110"
"2","obs-parent",1.68614662618428,"xxx---x|0001000|0000110"
"3","obs-parent",1.40470111977383,"xxx---x|0001000|0000110"
"4","obs-parent",1.22408819251829,"xxx---x|0001000|0000110"
"5","obs-parent",2.27384635704398,"xxx---x|0001000|0000110"
"6","obs-parent",1.75565831333709,"xxx---x|0001000|0000110"
"7","obs-parent",1.07602539557784,"xxx---x|0001000|0000110"
"8","obs-parent",2.09701750789779,"xxx---x|0001000|0000110"
"9","obs-parent",1.30022989442578,"xxx---x|0001000|0000110"
"10","obs-parent",1.64146855666731,"xxx---x|0001000|0000110"
"11","obs-parent",1.21669870724175,"xxx---x|0001000|0000110"
"12","obs-parent",1.75728684946905,"xxx---x|0001000|0000110"
"13","obs-parent",1.45136765616692,"xxx---x|0001000|0000110"
"14","obs-parent",2.11161664471065,"xxx---x|0001000|0000110"
"15","obs-parent",2.05831548986126,"xxx---x|0001000|0000110"
"16","obs-parent",2.02300675612343,"xxx---x|0001000|0000110"
"17","obs-parent",1.1297142050953,"xxx---x|0001000|0000110"
"18","obs-parent",1.2419372666905,"xxx---x|0001000|0000110"
"19","obs-parent",1.62460379130678,"xxx---x|0001000|0000110"
"20","obs-parent",1.62712923407826,"xxx---x|0001000|0000110"
"21","obs-parent",1.81307438002075,"xxx---x|0001000|0000110"
"22","obs-parent",1.71934737140446,"xxx---x|0001000|0000110"
"23","obs-parent",1.63724694724123,"xxx---x|0001000|0000110"
"24","obs-parent",3.52553018167205,"xxx---x|0001000|0000110"
"25","obs-parent",1.61027781006802,"xxx---x|0001000|0000110"
"26","obs-parent",1.34137779151854,"xxx---x|0001000|0000110"
"27","obs-parent",2.01322126457698,"xxx---x|0001000|0000110"
"28","obs-parent",2.12346590687511,"xxx---x|0001000|0000110"
"29","obs-parent",1.85211462589489,"xxx---x|0001000|0000110"
"30","obs-parent",1.5277463713995,"xxx---x|0001000|0000110"
"31","obs-parent",1.69180186540015,"xxx---x|0001000|0000110"
"32","obs-parent",1.23961520593674,"xxx---x|0001000|0000110"
"33","obs-parent",1.96528542779133,"xxx---x|0001000|0000110"
"34","obs-parent",2.63606122990465,"xxx---x|0001000|0000110"
"35","obs-parent",1.40586817312535,"xxx---x|0001000|0000110"
"36","obs-parent",2.62885293941974,"xxx---x|0001000|0000110"
"37","obs-parent",1.76108336212699,"xxx---x|0001000|0000110"
"38","obs-parent",1.14023614564638,"xxx---x|0001000|0000110"
"39","obs-parent",1.96951764853583,"xxx---x|0001000|0000110"
"40","obs-parent",1.33380376410363,"xxx---x|0001000|0000110"
"41","obs-parent",1.66263240487393,"xxx---x|0001000|0000110"
"42","obs-parent",1.38173558614799,"xxx---x|0001000|0000110"
"43","obs-parent",1.35458805487867,"xxx---x|0001000|0000110"
"44","obs-parent",1.8107086215081,"xxx---x|0001000|0000110"
"45","obs-parent",2.31738738486864,"xxx---x|0001000|0000110"
"46","obs-parent",3.06461484449015,"xxx---x|0001000|0000110"
"47","obs-parent",1.7759023386844,"xxx---x|0001000|0000110"
"48","obs-parent",1.34296331063443,"xxx---x|0001000|0000110"
"49","obs-parent",1.06903280139284,"xxx---x|0001000|0000110"
"50","obs-parent",2.10060418265802,"xxx---x|0001000|0000110"
"51","obs-parent",1.69506019404062,"xxx---x|0001000|0000110"
"52","obs-parent",1.04940530491242,"xxx---x|0001000|0000110"
"53","obs-parent",3.86091839396728,"xxx---x|0001000|0000110"
"54","obs-parent",1.19257943708256,"xxx---x|0001000|0000110"
"55","obs-parent",1.13774927310005,"xxx---x|0001000|0000110"
"56","obs-parent",1.48928860967428,"xxx---x|0001000|0000110"
"57","obs-parent",1.03243379054726,"xxx---x|0001000|0000110"
"58","obs-parent",2.60668673837134,"xxx---x|0001000|0000110"
"59","obs-parent",1.33248844869966,"xxx---x|0001000|0000110"
"60","obs-parent",2.11654517787956,"xxx---x|0001000|0000110"
"61","obs-parent",1.41724056908969,"xxx---x|0001000|0000110"
"62","obs-parent",1.00769871110016,"xxx---x|0001000|0000110"
"63","obs-parent",1.36137848788302,"xxx---x|0001000|0000110"
"64","obs-parent",0.997851198144277,"xxx---x|0001000|0000110"
"65","obs-parent",2.52344132782991,"xxx---x|0001000|0000110"
"66","obs-parent",1.11066079886089,"xxx---x|0001000|0000110"
"67","obs-parent",1.99075863503331,"xxx---x|0001000|0000110"
"68","obs-parent",1.36830124503577,"xxx---x|0001000|0000110"
"69","obs-parent",1.11073732227269,"xxx---x|0001000|0000110"
"70","obs-parent",1.17483873089611,"xxx---x|0001000|0000110"
"71","obs-parent",1.79639662432614,"xxx---x|0001000|0000110"
"72","obs-parent",4.4837646016343,"xxx---x|0001000|0000110"
"73","obs-parent",1.41484210371046,"xxx---x|0001000|0000110"
"74","obs-parent",4.28110272274316,"xxx---x|0001000|0000110"
"75","obs-parent",3.58801813800815,"xxx---x|0001000|0000110"
"76","obs-parent",1.39646361812137,"xxx---x|0001000|0000110"
"77","obs-parent",1.1263681673196,"xxx---x|0001000|0000110"
"78","obs-parent",3.03804476956912,"xxx---x|0001000|0000110"
"79","obs-parent",2.29278757193379,"xxx---x|0001000|0000110"
"80","obs-parent",2.32324524691605,"xxx---x|0001000|0000110"
"81","obs-parent",2.19114241597877,"xxx---x|0001000|0000110"
"82","obs-parent",1.39586912530821,"xxx---x|0001000|0000110"
"83","obs-parent",1.31045166475818,"xxx---x|0001000|0000110"
"84","obs-parent",1.08429119555191,"xxx---x|0001000|0000110"
"85","obs-parent",2.16439694861195,"xxx---x|0001000|0000110"
"86","obs-parent",1.68123430536114,"xxx---x|0001000|0000110"
"87","obs-parent",1.93745716257829,"xxx---x|0001000|0000110"
"88","obs-parent",1.12219478462278,"xxx---x|0001000|0000110"
"89","obs-parent",2.56163794949139,"xxx---x|0001000|0000110"
"90","obs-parent",5.32470384031032,"xxx---x|0001000|0000110"
"91","obs-parent",4.2383976634049,"xxx---x|0001000|0000110"
"92","obs-parent",4.94436785171672,"xxx---x|0001000|0000110"
"93","obs-parent",2.45124194287303,"xxx---x|0001000|0000110"
"94","obs-parent",1.09735494489591,"xxx---x|0001000|0000110"
"95","obs-parent",2.91457473364354,"xxx---x|0001000|0000110"
"96","obs-parent",3.03601534754535,"xxx---x|0001000|0000110"
"97","obs-parent",1.2070904393855,"xxx---x|0001000|0000110"
"98","obs-parent",3.1050156963532,"xxx---x|0001000|0000110"
"99","obs-parent",3.20676986652991,"xxx---x|0001000|0000110"
"100","obs-parent",3.51359079547384,"xxx---x|0001000|0000110"
"101","obs-parent",1.41680716218783,"xxx---x|0001000|0000110"
"102","obs-parent",4.89557474791688,"xxx---x|0001000|0000110"
"103","obs-parent",3.64321841705443,"xxx---x|0001000|0000110"
"104","obs-parent",1.98508695801042,"xxx---x|0001000|0000110"
"105","obs-parent",4.38842218417919,"xxx---x|0001000|0000110"
"106","obs-parent",1.05673462373126,"xxx---x|0001000|0000110"
"107","obs-parent",1.5763925843024,"xxx---x|0001000|0000110"
"108","obs-parent",2.93481483596051,"xxx---x|0001000|0000110"
"109","obs-parent",1.89167110116288,"xxx---x|0001000|0000110"
"110","obs-parent",2.43736443394486,"xxx---x|0001000|0000110"
"111","obs-parent",1.66396995009697,"xxx---x|0001000|0000110"
"112","pred",2.88836658966751,"xxx---x|0001000|0000110"
"113","pred",3.44901480303209,"xxx---x|0001000|0000110"
"114","pred",3.20095191565878,"xxx---x|0001000|0000110"
"115","pred",2.98844036005964,"xxx---x|0001000|0000110"
"116","pred",3.77294022062472,"xxx---x|0001000|0000110"
"117","pred",3.07148689908348,"xxx---x|0001000|0000110"
"118","pred",2.7780980943258,"xxx---x|0001000|0000110"
"119","pred",3.45026052925371,"xxx---x|0001000|0000110"
"120","pred",2.18688434045705,"xxx---x|0001000|0000110"
"121","pred",3.74979804888981,"xxx---x|0001000|0000110"
"122","pred",2.37072253904422,"xxx---x|0001000|0000110"
"123","pred",3.71452454126901,"xxx---x|0001000|0000110"
"124","pred",3.29922516246653,"xxx---x|0001000|0000110"
"125","pred",2.89613519587843,"xxx---x|0001000|0000110"
"126","pred",2.41834265205404,"xxx---x|0001000|0000110"
"127","pred",3.77288486353864,"xxx---x|0001000|0000110"
"128","pred",3.83972618742694,"xxx---x|0001000|0000110"
"129","pred",2.86295366154703,"xxx---x|0001000|0000110"
"130","pred",2.70020260255639,"xxx---x|0001000|0000110"
"131","pred",2.74227168059128,"xxx---x|0001000|0000110"
"132","pred",2.36357733274807,"xxx---x|0001000|0000110"
"133","pred",2.24421775269633,"xxx---x|0001000|0000110"
"134","pred",2.08764115372612,"xxx---x|0001000|0000110"
"135","pred",2.93410401466061,"xxx---x|0001000|0000110"
"136","pred",3.14266896446698,"xxx---x|0001000|0000110"
"137","pred",4.72842234101052,"xxx---x|0001000|0000110"
"138","pred",2.34030061777388,"xxx---x|0001000|0000110"
"139","pred",4.76504542200306,"xxx---x|0001000|0000110"
"140","pred",3.66952267400878,"xxx---x|0001000|0000110"
"141","pred",3.19758309890241,"xxx---x|0001000|0000110"
"142","pred",3.24628921246892,"xxx---x|0001000|0000110"
"143","pred",3.1784520272694,"xxx---x|0001000|0000110"
"144","pred",2.15553522511032,"xxx---x|0001000|0000110"
"145","pred",3.37057111017469,"xxx---x|0001000|0000110"
"146","pred",3.22368181962407,"xxx---x|0001000|0000110"
"147","pred",3.3186718764333,"xxx---x|0001000|0000110"
"148","pred",2.18228996951148,"xxx---x|0001000|0000110"
"149","pred",2.24905466164523,"xxx---x|0001000|0000110"
"150","pred",3.83869338338861,"xxx---x|0001000|0000110"
"151","pred",3.06700470976998,"xxx---x|0001000|0000110"
"152","pred",7.92742447715894,"xxx---x|0001000|0000110"
"153","pred",2.08100513217763,"xxx---x|0001000|0000110"
