"","class","v","id"
"1","obs-parent",1.24734861163893,"xxxx--x|0000100|0000010"
"2","obs-parent",1.48946599835149,"xxxx--x|0000100|0000010"
"3","obs-parent",1.38233939632281,"xxxx--x|0000100|0000010"
"4","obs-parent",1.29056572923288,"xxxx--x|0000100|0000010"
"5","obs-parent",1.62935403103893,"xxxx--x|0000100|0000010"
"6","obs-parent",1.32642959274777,"xxxx--x|0000100|0000010"
"7","obs-parent",1.19972887560403,"xxxx--x|0000100|0000010"
"8","obs-parent",1.49000396845493,"xxxx--x|0000100|0000010"
"9","obs-parent",0.944411680858708,"xxxx--x|0000100|0000010"
"10","obs-parent",1.61936002408458,"xxxx--x|0000100|0000010"
"11","obs-parent",1.02380268427019,"xxxx--x|0000100|0000010"
"12","obs-parent",1.60412706822786,"xxxx--x|0000100|0000010"
"13","obs-parent",1.42477895313163,"xxxx--x|0000100|0000010"
"14","obs-parent",1.25070350440297,"xxxx--x|0000100|0000010"
"15","obs-parent",1.04436755372318,"xxxx--x|0000100|0000010"
"16","obs-parent",1.62933012493757,"xxxx--x|0000100|0000010"
"17","obs-parent",1.65819572421795,"xxxx--x|0000100|0000010"
"18","obs-parent",1.23637397264326,"xxxx--x|0000100|0000010"
"19","obs-parent",1.1660895052211,"xxxx--x|0000100|0000010"
"20","obs-parent",1.18425714580643,"xxxx--x|0000100|0000010"
"21","obs-parent",1.02071700837806,"xxxx--x|0000100|0000010"
"22","obs-parent",0.969171263805351,"xxxx--x|0000100|0000010"
"23","obs-parent",0.901553252975528,"xxxx--x|0000100|0000010"
"24","obs-parent",1.26710043738334,"xxxx--x|0000100|0000010"
"25","obs-parent",1.35716975251396,"xxxx--x|0000100|0000010"
"26","obs-parent",2.04198146571863,"xxxx--x|0000100|0000010"
"27","obs-parent",1.01066489857647,"xxxx--x|0000100|0000010"
"28","obs-parent",2.05779723834022,"xxxx--x|0000100|0000010"
"29","obs-parent",1.58469289500033,"xxxx--x|0000100|0000010"
"30","obs-parent",1.38088456405915,"xxxx--x|0000100|0000010"
"31","obs-parent",1.40191842567244,"xxxx--x|0000100|0000010"
"32","obs-parent",1.37262276109897,"xxxx--x|0000100|0000010"
"33","obs-parent",0.930873483995561,"xxxx--x|0000100|0000010"
"34","obs-parent",1.45558988590526,"xxxx--x|0000100|0000010"
"35","obs-parent",1.39215536437036,"xxxx--x|0000100|0000010"
"36","obs-parent",1.43317706705324,"xxxx--x|0000100|0000010"
"37","obs-parent",0.942427589836183,"xxxx--x|0000100|0000010"
"38","obs-parent",0.971260095494379,"xxxx--x|0000100|0000010"
"39","obs-parent",1.65774970511223,"xxxx--x|0000100|0000010"
"40","obs-parent",1.32449394765435,"xxxx--x|0000100|0000010"
"41","obs-parent",3.42347884469712,"xxxx--x|0000100|0000010"
"42","obs-parent",0.898687469838813,"xxxx--x|0000100|0000010"
"43","obs-parent",2.20948332632328,"xxxx--x|0000100|0000010"
"44","obs-parent",1.50718542006008,"xxxx--x|0000100|0000010"
"45","obs-parent",0.890806898381571,"xxxx--x|0000100|0000010"
"46","obs-parent",1.32013507816418,"xxxx--x|0000100|0000010"
"47","obs-parent",0.961692361509395,"xxxx--x|0000100|0000010"
"48","obs-parent",1.35300683966695,"xxxx--x|0000100|0000010"
"49","obs-parent",1.69406449961801,"xxxx--x|0000100|0000010"
"50","obs-parent",2.59429999984921,"xxxx--x|0000100|0000010"
"51","obs-parent",2.90455901290937,"xxxx--x|0000100|0000010"
"52","obs-parent",1.33584675291996,"xxxx--x|0000100|0000010"
